# top line  : fill_value    column number density n_column (molec/cm2)
# next lines: wavenumber nu (cm-1)    optical thickness tau_abs(nu)
 -999.000  2.893941e+22
13006.000  1.203369e-05
13006.010  1.181783e-05
13006.020  1.162188e-05
13006.030  1.144389e-05
13006.040  1.128219e-05
13006.050  1.113536e-05
13006.060  1.100214e-05
13006.070  1.088149e-05
13006.080  1.077249e-05
13006.090  1.067438e-05
13006.100  1.058652e-05
13006.110  1.050838e-05
13006.120  1.043956e-05
13006.130  1.037976e-05
13006.140  1.032881e-05
13006.150  1.028666e-05
13006.160  1.025337e-05
13006.170  1.022918e-05
13006.180  1.021452e-05
13006.190  1.021004e-05
13006.200  1.021669e-05
13006.210  1.023581e-05
13006.220  1.026926e-05
13006.230  1.031965e-05
13006.240  1.039063e-05
13006.250  1.048739e-05
13006.260  1.061748e-05
13006.270  1.079206e-05
13006.280  1.102816e-05
13006.290  1.135254e-05
13006.300  1.180861e-05
13006.310  1.246843e-05
13006.320  1.345149e-05
13006.330  1.494043e-05
13006.340  1.714000e-05
13006.350  2.005513e-05
13006.360  2.307602e-05
13006.370  2.490599e-05
13006.380  2.449413e-05
13006.390  2.213887e-05
13006.400  1.950604e-05
13006.410  1.697002e-05
13006.420  1.520155e-05
13006.430  1.407483e-05
13006.440  1.338249e-05
13006.450  1.296906e-05
13006.460  1.273890e-05
13006.470  1.263581e-05
13006.480  1.262724e-05
13006.490  1.269471e-05
13006.500  1.282870e-05
13006.510  1.302494e-05
13006.520  1.328413e-05
13006.530  1.361055e-05
13006.540  1.401215e-05
13006.550  1.450100e-05
13006.560  1.509408e-05
13006.570  1.581486e-05
13006.580  1.669549e-05
13006.590  1.778047e-05
13006.600  1.913196e-05
13006.610  2.083854e-05
13006.620  2.302734e-05
13006.630  2.589240e-05
13006.640  2.972292e-05
13006.650  3.496999e-05
13006.660  4.233955e-05
13006.670  5.290377e-05
13006.680  6.813556e-05
13006.690  8.941355e-05
13006.700  1.163197e-04
13006.710  1.438782e-04
13006.720  1.621046e-04
13006.730  1.619662e-04
13006.740  1.435480e-04
13006.750  1.159684e-04
13006.760  8.916222e-05
13006.770  6.801821e-05
13006.780  5.290601e-05
13006.790  4.243648e-05
13006.800  3.514126e-05
13006.810  2.995445e-05
13006.820  2.617478e-05
13006.830  2.335409e-05
13006.840  2.120342e-05
13006.850  1.953255e-05
13006.860  1.821329e-05
13006.870  1.715715e-05
13006.880  1.630167e-05
13006.890  1.560188e-05
13006.900  1.502479e-05
13006.910  1.454580e-05
13006.920  1.414627e-05
13006.930  1.381192e-05
13006.940  1.353166e-05
13006.950  1.329680e-05
13006.960  1.310028e-05
13006.970  1.293700e-05
13006.980  1.280235e-05
13006.990  1.269276e-05
13007.000  1.260538e-05
13007.010  1.253788e-05
13007.020  1.248841e-05
13007.030  1.245546e-05
13007.040  1.243785e-05
13007.050  1.243465e-05
13007.060  1.244520e-05
13007.070  1.246900e-05
13007.080  1.250588e-05
13007.090  1.255552e-05
13007.100  1.261808e-05
13007.110  1.269378e-05
13007.120  1.278303e-05
13007.130  1.288641e-05
13007.140  1.300468e-05
13007.150  1.313883e-05
13007.160  1.329007e-05
13007.170  1.345990e-05
13007.180  1.365012e-05
13007.190  1.386289e-05
13007.200  1.410082e-05
13007.210  1.436704e-05
13007.220  1.466531e-05
13007.230  1.500017e-05
13007.240  1.537715e-05
13007.250  1.580294e-05
13007.260  1.628622e-05
13007.270  1.683645e-05
13007.280  1.746665e-05
13007.290  1.819281e-05
13007.300  1.903521e-05
13007.310  2.001992e-05
13007.320  2.118089e-05
13007.330  2.256287e-05
13007.340  2.422582e-05
13007.350  2.625143e-05
13007.360  2.875305e-05
13007.370  3.189120e-05
13007.380  3.589823e-05
13007.390  4.111832e-05
13007.400  4.807283e-05
13007.410  5.756582e-05
13007.420  7.084142e-05
13007.430  8.974893e-05
13007.440  1.167199e-04
13007.450  1.537456e-04
13007.460  1.993456e-04
13007.470  2.442686e-04
13007.480  2.718402e-04
13007.490  2.685280e-04
13007.500  2.362173e-04
13007.510  1.903706e-04
13007.520  1.466300e-04
13007.530  1.123412e-04
13007.540  8.788927e-05
13007.550  7.103800e-05
13007.560  5.947188e-05
13007.570  5.151898e-05
13007.580  4.609736e-05
13007.590  4.255094e-05
13007.600  4.051678e-05
13007.610  3.985252e-05
13007.620  4.061632e-05
13007.630  4.309292e-05
13007.640  4.785769e-05
13007.650  5.580320e-05
13007.660  6.786168e-05
13007.670  8.388983e-05
13007.680  1.007315e-04
13007.690  1.117551e-04
13007.700  1.109000e-04
13007.710  9.833950e-05
13007.720  8.028601e-05
13007.730  6.321731e-05
13007.740  5.005913e-05
13007.750  4.080827e-05
13007.760  3.445593e-05
13007.770  3.003923e-05
13007.780  2.689100e-05
13007.790  2.458441e-05
13007.800  2.285130e-05
13007.810  2.152057e-05
13007.820  2.048023e-05
13007.830  1.965507e-05
13007.840  1.899324e-05
13007.850  1.845825e-05
13007.860  1.802385e-05
13007.870  1.767093e-05
