# top line  : fill_value    column number density n_column (molec/cm2)
# next lines: wavenumber nu (cm-1)    optical thickness tau_abs(nu)
 -999.000  2.479372e+21
13050.000  3.509087e-04
13050.010  3.654909e-04
13050.020  3.810391e-04
13050.030  3.976404e-04
13050.040  4.153922e-04
13050.050  4.344032e-04
13050.060  4.547954e-04
13050.070  4.767060e-04
13050.080  5.002895e-04
13050.090  5.257204e-04
13050.100  5.531969e-04
13050.110  5.829439e-04
13050.120  6.152185e-04
13050.130  6.503147e-04
13050.140  6.885707e-04
13050.150  7.303763e-04
13050.160  7.761834e-04
13050.170  8.265176e-04
13050.180  8.819930e-04
13050.190  9.433310e-04
13050.200  1.011383e-03
13050.210  1.087160e-03
13050.220  1.171868e-03
13050.230  1.266957e-03
13050.240  1.374178e-03
13050.250  1.495665e-03
13050.260  1.634170e-03
13050.270  1.792701e-03
13050.280  1.975402e-03
13050.290  2.187361e-03
13050.300  2.435048e-03
13050.310  2.726771e-03
13050.320  3.073326e-03
13050.330  3.488898e-03
13050.340  3.992354e-03
13050.350  4.609080e-03
13050.360  5.373626e-03
13050.370  6.333423e-03
13050.380  7.553867e-03
13050.390  9.124589e-03
13050.400  1.116523e-02
13050.410  1.382459e-02
13050.420  1.725687e-02
13050.430  2.154649e-02
13050.440  2.654097e-02
13050.450  3.164414e-02
13050.460  3.575338e-02
13050.470  3.762284e-02
13050.480  3.658338e-02
13050.490  3.301494e-02
13050.500  2.807215e-02
13050.510  2.295996e-02
13050.520  1.843209e-02
13050.530  1.475004e-02
13050.540  1.187883e-02
13050.550  9.673206e-03
13050.560  7.978641e-03
13050.570  6.666238e-03
13050.580  5.638024e-03
13050.590  4.822163e-03
13050.600  4.166531e-03
13050.610  3.633235e-03
13050.620  3.194513e-03
13050.630  2.829801e-03
13050.640  2.523694e-03
13050.650  2.264509e-03
13050.660  2.043282e-03
13050.670  1.853058e-03
13050.680  1.688383e-03
13050.690  1.544826e-03
13050.700  1.419183e-03
13050.710  1.308526e-03
13050.720  1.210592e-03
13050.730  1.123525e-03
13050.740  1.045796e-03
13050.750  9.761321e-04
13050.760  9.134707e-04
13050.770  8.569178e-04
13050.780  8.057176e-04
13050.790  7.592280e-04
13050.800  7.169006e-04
13050.810  6.782659e-04
13050.820  6.429195e-04
13050.830  6.105126e-04
13050.840  5.807435e-04
13050.850  5.533512e-04
13050.860  5.281098e-04
13050.870  5.048250e-04
13050.880  4.833308e-04
13050.890  4.634881e-04
13050.900  4.451839e-04
13050.910  4.283312e-04
13050.920  4.128678e-04
13050.930  3.987478e-04
13050.940  3.859181e-04
13050.950  3.742618e-04
13050.960  3.635229e-04
13050.970  3.532700e-04
13050.980  3.430088e-04
13050.990  3.324344e-04
13051.000  3.216132e-04
13051.010  3.108968e-04
13051.020  3.006624e-04
13051.030  2.911318e-04
13051.040  2.823575e-04
13051.050  2.742933e-04
13051.060  2.668600e-04
13051.070  2.599791e-04
13051.080  2.535840e-04
13051.090  2.476209e-04
13051.100  2.420464e-04
13051.110  2.368256e-04
13051.120  2.319297e-04
13051.130  2.273345e-04
13051.140  2.230193e-04
13051.150  2.189662e-04
13051.160  2.151595e-04
13051.170  2.115855e-04
13051.180  2.082318e-04
13051.190  2.050872e-04
13051.200  2.021419e-04
13051.210  1.993867e-04
13051.220  1.968136e-04
13051.230  1.944151e-04
13051.240  1.921844e-04
13051.250  1.901154e-04
13051.260  1.882025e-04
13051.270  1.864407e-04
13051.280  1.848254e-04
13051.290  1.833525e-04
13051.300  1.820183e-04
13051.310  1.808195e-04
13051.320  1.797531e-04
13051.330  1.792028e-04
13051.340  1.783942e-04
13051.350  1.777113e-04
13051.360  1.771526e-04
13051.370  1.767168e-04
13051.380  1.764028e-04
13051.390  1.762100e-04
13051.400  1.761380e-04
13051.410  1.761867e-04
13051.420  1.763562e-04
13051.430  1.766471e-04
13051.440  1.770600e-04
13051.450  1.775961e-04
13051.460  1.782567e-04
13051.470  1.790434e-04
13051.480  1.799582e-04
13051.490  1.810034e-04
13051.500  1.821817e-04
13051.510  1.834960e-04
13051.520  1.849496e-04
13051.530  1.865463e-04
13051.540  1.882903e-04
13051.550  1.901861e-04
13051.560  1.922387e-04
13051.570  1.944537e-04
13051.580  1.968369e-04
13051.590  1.993951e-04
13051.600  2.021353e-04
13051.610  2.050653e-04
13051.620  2.081936e-04
13051.630  2.115295e-04
13051.640  2.150828e-04
13051.650  2.188644e-04
13051.660  2.228862e-04
13051.670  2.271611e-04
13051.680  2.317028e-04
